vacancy_name,vacancy_reference,employer,employer_reference,location,service,min_salary,max_salary,vacancy_currency
Data Scientist,https://yaroslavl.hh.ru/vacancy/46105334?from=vacancy_search_list&query=data%20scientist,ЭкспрессДеньги,https://hh.ru/employer/1183379,"Москва, Выставочная и еще 2 ",HeadHunter,100000.0,150000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46160570?from=vacancy_search_list&query=data%20scientist,Иностр. п. Admitad,https://hh.ru/employer/921918,Минск,HeadHunter,,,
Data Scientist (Клиентский сервис),https://yaroslavl.hh.ru/vacancy/44483069?from=vacancy_search_list&query=data%20scientist,Билайн,https://hh.ru/employer/4934,Москва,HeadHunter,,,
"Data Scientist / Аналитик данных (Специалист по ML, DL / Математик)",https://yaroslavl.hh.ru/vacancy/46806150?from=vacancy_search_list&query=data%20scientist,АНО Математический Клуб Исследования Рынка Ценных Бумаг,https://hh.ru/employer/5218734,Уфа,HeadHunter,45000.0,,руб.
Data Scientist/Engineer (Remote),https://yaroslavl.hh.ru/vacancy/46798430?from=vacancy_search_list&query=data%20scientist,ООО Бизапс,https://hh.ru/employer/1753496,Москва,HeadHunter,350000.0,,руб.
Senior Data Scientist (в Анапу),https://yaroslavl.hh.ru/vacancy/46497619?from=vacancy_search_list&query=data%20scientist,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Краснодар,HeadHunter,150000.0,250000.0,руб.
Data Scientist / Математик-программист,https://yaroslavl.hh.ru/vacancy/46588584?from=vacancy_search_list&query=data%20scientist,ООО Лаборатория Корпоративного Сопровождения,https://hh.ru/employer/5496862,Санкт-Петербург,HeadHunter,,,
Senior Data Scientist (в Анапу),https://yaroslavl.hh.ru/vacancy/46497617?from=vacancy_search_list&query=data%20scientist,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Москва,HeadHunter,150000.0,250000.0,руб.
Data Scientist (middle or senior),https://yaroslavl.hh.ru/vacancy/42956307?from=vacancy_search_list&query=data%20scientist,ООО РАБЛЗ,https://hh.ru/employer/2223982,Москва,HeadHunter,,500000.0,руб.
Middle Data Scientist,https://yaroslavl.hh.ru/vacancy/46820276?from=vacancy_search_list&query=data%20scientist,NIX,https://hh.ru/employer/22373,Харьков,HeadHunter,,,
Data Scientist\ Аналитик Data Science,https://yaroslavl.hh.ru/vacancy/46743518?from=vacancy_search_list&query=data%20scientist,КОРУС Консалтинг,https://hh.ru/employer/675,Санкт-Петербург,HeadHunter,,160000.0,руб.
Data Analyst,https://yaroslavl.hh.ru/vacancy/45955296?from=vacancy_search_list&query=data%20scientist,ООО МАГ Девелопмент,https://hh.ru/employer/4382297,Москва,HeadHunter,100000.0,150000.0,руб.
Аналитик данных / Data scientist,https://yaroslavl.hh.ru/vacancy/46639991?from=vacancy_search_list&query=data%20scientist,ООО Лендсбэй,https://hh.ru/employer/3497676,Москва,HeadHunter,,,
Junior Python разработчик,https://yaroslavl.hh.ru/vacancy/46770125?from=vacancy_search_list&query=data%20scientist,ANABAR,https://hh.ru/employer/4872201,Москва,HeadHunter,,,
Senior Data Scientist (в Анапу),https://yaroslavl.hh.ru/vacancy/46497620?from=vacancy_search_list&query=data%20scientist,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Казань,HeadHunter,150000.0,250000.0,руб.
Data Scientist / Data Analyst,https://yaroslavl.hh.ru/vacancy/46813747?from=vacancy_search_list&query=data%20scientist,МТС. Маркетинг,https://hh.ru/employer/89798?dpt=89798-89798-04,"Минск, Парк Челюскинцев",HeadHunter,,,
Data Scientist / Аналитик Data Science,https://yaroslavl.hh.ru/vacancy/45062052?from=vacancy_search_list&query=data%20scientist,Forecsys,https://hh.ru/employer/14896,"Москва, Академическая",HeadHunter,,,
